CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
207	78.397897	8.257162	38.465866	9.344155	-0
208	78.241101	8.257162	38.358593	9.451429	-0
209	78.084619	0	0	0	-0
210	78.677002	0	0	0	0.057749
211	79.233656	0	0	0	0.122223
212	79.757196	0	0	0	0.193145
213	80.250021	0	0	0	0.270243
214	80.714316	0	0	0	0.353255
215	81.152098	0	0	0	0.441929
216	81.565218	0	0	0	0.53602
217	81.955367	0	0	0	0.635293
218	82.324097	0	0	0	0.739522
219	82.672839	0	0	0	0.848491
220	83.00292	0	0	0	0.961994
221	83.315548	0	0	0	1.079833
222	83.611845	0	0	0	1.201818
223	83.892837	0	0	0	1.327769
224	84.159484	0	0	0	1.457514
225	84.412669	0	0	0	1.590888
226	84.653207	0	0	0	1.727734
227	84.88186	0	0	0	1.867903
228	85.099327	0	0	0	2.011252
229	85.306264	0	0	0	2.157645
230	85.50328	0	0	0	2.306951
231	85.69093	0	0	0	2.459048
232	85.869748	0	0	0	2.613816
233	86.040221	0	0	0	2.771144
234	86.202813	0	0	0	2.930924
235	86.357944	0	0	0	3.093052
236	86.506016	0	0	0	3.257432
237	86.64741	0	0	0	3.42397
238	86.78247	0	0	0	3.592577
239	86.911522	0	0	0	3.763167
240	87.034879	0	0	0	3.935659
241	87.152822	0	0	0	4.109975
242	87.265633	0	0	0	4.286042
243	87.373563	0	0	0	4.463787
244	87.476856	0	0	0	4.643144
245	87.575733	0	0	0	4.824047
246	87.670408	0	0	0	5.006434
247	87.761084	0	0	0	5.190246
248	87.847954	0	0	0	5.375426
249	87.931192	0	0	0	5.561919
250	88.010973	0	0	0	5.749675
251	88.087457	17.602194	0	0	3.298312
252	87.911281	27.360218	0	0	1.921926
253	87.991884	27.360218	0	0	2.109379
254	88.069152	27.360218	0	0	2.298055
255	87.893015	30.5075	0	0	2.048146
256	87.974379	30.5075	0	0	2.235323
257	88.052371	30.5075	0	0	2.423733
258	87.876263	33.514648	0	0	2.174639
259	87.958321	33.514648	0	0	2.361561
260	87.782404	27.243507	6.27114	0	2.385293
261	87.60684	23.179089	10.335558	0	2.485293
262	87.431626	19.721035	13.793612	0	2.585293
263	87.256763	16.778883	16.735764	0	2.685293
264	87.082249	14.275666	19.23898	0	2.785293
265	86.908085	12.145901	21.368746	0	2.885293
266	86.734268	10.333872	23.180775	0	2.985293
267	86.5608	8.792177	24.72247	0	3.085293
268	86.387678	7.480485	26.034161	0	3.185293
269	86.214903	6.364483	27.150164	0	3.285293
270	86.042473	5.414975	28.099672	0	3.385293
271	85.870388	4.628827	28.88582	0	3.493352
272	85.698647	4.055524	29.459123	0	3.644295
273	85.52725	3.616319	29.898327	0	3.826521
274	85.356196	3.267792	30.246854	0	4.03272
275	85.185483	2.983776	30.53087	0	4.257948
276	85.015112	2.747458	30.767188	0	4.498684
277	84.845082	2.547492	30.967155	0	4.752327
278	84.675392	2.375918	31.138729	0	5.016895
279	84.506041	2.226975	31.287671	0	5.290836
280	84.337029	2.226975	29.390726	1.896945	-0
281	84.168355	2.226975	29.265476	2.022195	0
282	84.000018	2.226975	29.14076	2.14691	0
283	83.832018	2.226975	29.016577	2.271095	0
284	83.664354	2.226975	28.892921	2.39475	0
285	83.497025	2.226975	28.769793	2.517878	0
286	83.330031	2.226975	28.64719	2.640481	0
287	83.163371	2.226975	28.525108	2.762562	0
288	82.997045	2.226975	28.403547	2.884122	0
289	82.83105	2.226975	28.282505	3.005165	0
290	82.665388	2.226975	28.161978	3.125692	0
291	82.500058	2.226975	28.041965	3.245705	0
292	82.335057	2.226975	27.922464	3.365207	0
293	82.170387	2.226975	27.803473	3.484199	0
294	82.006047	2.226975	27.684988	3.602684	0
295	81.842034	2.226975	27.567007	3.720665	0
296	81.67835	2.226975	27.44953	3.838142	0
297	81.514994	2.226975	27.332552	3.955119	0
298	81.351964	2.226975	27.216074	4.071598	0
299	81.18926	2.226975	27.100092	4.18758	0
300	81.026881	2.226975	26.984604	4.303068	0
301	80.864828	2.226975	26.869608	4.418063	0
302	80.703098	2.226975	26.755102	4.532569	0
303	80.541692	2.226975	26.641085	4.646587	0
304	80.380608	2.226975	26.527554	4.760118	0
305	80.219847	2.226975	26.414505	4.873166	0
306	80.059407	2.226975	26.301939	4.985733	0
307	79.899289	2.226975	26.189852	5.097819	0
308	79.73949	2.226975	26.078243	5.209428	0
309	79.580011	2.226975	25.96711	5.320561	0
310	79.420851	2.226975	25.856449	5.431221	0
311	79.262009	2.226975	25.746262	5.541409	0
312	79.103485	2.226975	25.636543	5.651127	0
313	78.945278	2.226975	25.527292	5.760378	0
314	78.787388	2.226975	25.418507	5.869163	0
315	78.629813	2.226975	25.310184	5.977485	0
316	78.472553	2.226975	25.202324	6.085345	0
317	78.315608	2.226975	25.094923	6.192746	0
318	78.158977	2.226975	24.98798	6.299688	0
319	78.002659	0	0	0	0
320	78.60003	0	0	0	0.05683
321	79.161299	0	0	0	0.120422
322	79.689118	0	0	0	0.190498
323	80.18591	0	0	0	0.266787
324	80.653898	0	0	0	0.349025
325	81.095114	0	0	0	0.436957
326	81.511425	0	0	0	0.530338
327	81.904542	0	0	0	0.628932
328	82.276044	0	0	0	0.732512
329	82.627383	0	0	0	0.840861
330	82.959885	0	0	0	0.95377
331	83.274775	0	0	0	1.071041
332	83.573188	0	0	0	1.192483
333	83.856167	0	0	0	1.317915
334	84.12468	0	0	0	1.447163
335	84.379616	0	0	0	1.580062
336	84.621799	0	0	0	1.716453
337	84.851997	0	0	0	1.856187
338	85.070919	0	0	0	1.99912
339	85.279226	0	0	0	2.145113
340	85.477529	0	0	0	2.294038
341	85.666398	0	0	0	2.445769
342	85.846365	0	0	0	2.600188
343	86.017927	0	0	0	2.75718
344	86.181547	0	0	0	2.916638
