CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
55	34.760445	0	0	0	17.852282
56	34.876949	0	0	0	18.22371
57	34.992889	0	0	0	18.595139
58	35.108266	0	0	0	18.966568
59	35.223083	0	0	0	19.337996
60	35.337345	0	0	0	19.709425
61	35.451051	0	0	0	20.080853
62	35.564204	0	0	0	20.452282
63	35.67681	0	0	0	20.82371
64	35.788871	0	0	0	21.195139
65	35.900387	0	0	0	21.566568
66	36.011363	0	0	0	21.937996
67	36.121799	0	0	0	22.309425
68	36.231697	0	0	0	22.680853
69	36.341063	0	0	0	23.052282
70	36.4499	0	0	0	23.423711
71	36.558207	0	0	0	23.795139
72	36.665989	0	0	0	24.166568
73	36.773249	0	0	0	24.537996
74	36.879988	0	0	0	24.909425
75	36.986209	0	0	0	25.280853
76	37.091916	0	0	0	25.652282
77	37.197109	0	0	0	26.023711
78	37.301792	0	0	0	26.395139
79	37.405968	0	0	0	26.766568
80	37.509639	0	0	0	27.137996
81	37.612806	0	0	0	27.509425
82	37.715472	0	0	0	27.880853
83	37.817642	0	0	0	28.252282
84	37.919313	0	0	0	28.623711
85	38.020494	0	0	0	28.995139
86	38.121183	0	0	0	29.366568
87	38.221385	0	0	0	29.737996
88	38.3211	0	0	0	30.109425
89	38.420331	0	0	0	30.480854
90	38.519079	0	0	0	30.852282
91	38.617351	0	0	0	31.223711
92	38.715143	0	0	0	31.595139
93	38.812463	0	0	0	31.966568
94	38.909311	0	0	0	32.337996
95	39.005687	0	0	0	32.709425
96	39.101595	0	0	0	33.080854
97	39.197038	0	0	0	33.452282
98	39.29202	0	0	0	33.823711
99	39.386542	0	0	0	34.195139
100	39.480603	0	0	0	34.566568
101	39.574208	0	0	0	34.937996
102	39.667359	0	0	0	35.309425
103	39.760057	0	0	0	35.680854
104	39.852307	0	0	0	36.052282
105	39.94411	0	0	0	36.423711
106	40.035468	0	0	0	36.795139
107	40.126381	0	0	0	37.166568
108	40.216852	0	0	0	37.537996
109	40.306886	0	0	0	37.909425
110	40.396481	0	0	0	38.280854
111	40.485643	0	0	0	38.652282
112	40.574374	0	0	0	39.023711
113	40.662671	0	0	0	39.395139
114	40.750542	0	0	0	39.766568
115	40.837987	0	0	0	40.137997
116	40.925009	0	0	0	40.509425
117	41.011608	0	0	0	40.880854
118	41.097785	0	0	0	41.252282
119	41.183543	0	0	0	41.623711
120	41.268886	0	0	0	41.995139
121	41.353814	0	0	0	42.366568
122	41.438331	0	0	0	42.737997
123	41.522441	0	0	0	43.109425
124	41.606139	0	0	0	43.480854
125	41.689434	0	0	0	43.852282
126	41.772325	0	0	0	44.223711
127	41.854813	0	0	0	44.595139
128	41.936901	0	0	0	44.966568
129	42.018589	0	0	0	45.337997
130	42.099881	0	0	0	45.709425
131	42.180782	0	0	0	46.080854
132	42.261286	0	0	0	46.452282
133	42.341402	0	0	0	46.823711
134	42.421129	0	0	0	47.195139
135	42.500469	0	0	0	47.566568
136	42.579423	0	0	0	47.937997
137	42.657994	0	0	0	48.309425
138	42.736183	0	0	0	48.680854
139	42.813996	0	0	0	49.052282
140	42.891428	0	0	0	49.423711
141	42.968487	0	0	0	49.79514
142	43.045173	0	0	0	50.166568
143	43.121485	0	0	0	50.537997
144	43.197429	0	0	0	50.909425
145	43.273003	0	0	0	51.280854
146	43.348211	0	0	0	51.652282
147	43.423054	0	0	0	52.023711
148	43.497532	0	0	0	52.39514
149	43.571648	0	0	0	52.766568
150	43.484505	0	0	0	53.166568
151	43.397536	0	0	0	53.566568
152	43.310741	0	0	0	53.966568
153	43.224119	0	0	0	54.366568
154	43.137671	0	0	0	54.766568
155	43.051396	0	0	0	55.166568
156	42.965293	0	0	0	55.566568
157	42.879362	0	0	0	55.966568
158	42.793604	0	0	0	56.366568
159	42.708016	0	0	0	56.766568
160	42.6226	0	0	0	57.166568
161	42.537355	0	0	0	57.566568
162	42.45228	0	0	0	57.966568
163	42.367376	0	0	0	58.366568
164	42.282641	0	0	0	58.766568
165	42.198076	0	0	0	59.166568
166	42.11368	0	0	0	59.566568
167	42.029452	0	0	0	59.966568
168	41.945393	0	0	0	60.366568
169	41.861503	0	0	0	60.766568
170	41.77778	0	0	0	61.166568
171	41.694224	0	0	0	61.566568
172	41.610836	0	0	0	61.966568
173	41.527614	0	0	0	62.366568
174	41.444559	0	0	0	62.766568
175	41.36167	0	0	0	63.166568
176	41.278946	0	0	0	63.566568
177	41.196388	0	0	0	63.966568
178	41.113996	0	0	0	64.366568
179	41.031768	0	0	0	64.766568
180	40.949704	0	0	0	65.166568
181	40.867805	0	0	0	65.566568
182	40.786069	0	0	0	65.966568
183	40.704497	0	0	0	66.366568
184	40.623088	0	0	0	66.766568
185	40.541842	0	0	0	67.166568
186	40.460758	0	0	0	67.566568
187	40.379837	0	0	0	67.966568
188	40.299077	0	0	0	68.366568
189	40.218479	0	0	0	68.766568
190	40.138042	0	0	0	69.166568
191	40.057766	0	0	0	69.566568
