CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
222	85.418207	0	0	0	0
223	85.829477	0	0	0	0
224	86.223509	0	0	0	0
225	86.601018	0	0	0	0
226	86.962704	0	0	0	0
227	87.309231	0	0	0	0
228	87.64123	0	0	0	0
229	87.959311	0	0	0	0
230	88.264059	0	0	0	0
231	88.087533	2.666667	0	0	0
232	87.911357	5.262222	0	0	0
233	88.218115	5.262222	0	0	0
234	88.041681	7.788563	0	0	0
235	87.865596	10.247535	0	0	0
236	88.174273	10.247535	0	0	0
237	87.997922	12.640934	0	0	0
238	88.301048	12.640934	0	0	0
239	88.124446	14.97051	0	0	0
240	87.948194	17.237963	0	0	0
241	88.253407	17.237963	0	0	0
242	88.076904	19.44495	0	0	0
243	87.90075	21.593084	0	0	0
244	88.119238	21.593084	0	0	0.073469
245	87.943001	23.833282	0	0	0.044897
246	88.110908	23.833282	0	0	0.159183
247	87.934687	26.009474	0	0	0.130612
248	88.102852	26.009474	0	0	0.244897
249	87.926646	28.123489	0	0	0.216326
250	88.095056	28.123489	0	0	0.330612
251	87.918865	30.177103	0	0	0.30204
252	88.08751	30.177103	0	0	0.416326
253	87.911334	32.172043	0	0	0.387754
254	88.080208	32.172043	0	0	0.50204
255	87.904047	34.109985	0	0	0.473469
256	88.07315	34.109985	0	0	0.587754
257	87.897004	35.992558	0	0	0.559183
258	88.06632	35.992558	0	0	0.673469
259	87.89019	37.821342	0	0	0.644897
260	87.714409	32.821342	5	0	0.744897
261	87.53898	28.482346	9.338998	0	0.844897
262	87.363903	24.716965	13.104378	0	0.944897
263	87.189175	21.449369	16.371973	0	1.044897
264	87.014796	18.613752	19.20759	0	1.144897
265	86.840767	16.153006	21.668337	0	1.244897
266	86.667085	14.01757	23.803773	0	1.344897
267	86.493751	12.164441	25.656902	0	1.444897
268	86.320764	10.556296	27.265048	0	1.544897
269	86.148122	9.160748	28.660595	0	1.644897
270	85.975826	7.949693	29.871651	0	1.744897
271	85.803874	6.89874	30.922604	0	1.844897
272	85.632266	5.986723	31.834621	0	1.944897
273	85.461002	5.195275	32.626068	0	2.044897
274	85.29008	4.508457	33.312886	0	2.144897
275	85.1195	3.912437	33.908907	0	2.244897
276	84.949261	3.395211	34.426133	0	2.344897
277	84.779362	2.946362	34.874981	0	2.444897
278	84.609803	2.58621	35.235134	0	2.567509
279	84.440584	2.309278	35.512065	0	2.724514
280	84.271703	2.309278	34.470562	1.041505	0
281	84.103159	2.309278	34.341141	1.170928	0
282	83.934953	2.309278	34.212204	1.299865	0
283	83.767083	2.309278	34.083752	1.428317	0
284	83.599549	2.309278	33.95578	1.556288	0
285	83.43235	2.309278	33.828289	1.683778	0
286	83.265485	2.309278	33.701279	1.81079	0
287	83.098954	2.309278	33.574745	1.937324	0
288	82.932756	2.309278	33.448685	2.063384	0
289	82.766891	2.309278	33.323097	2.18897	0
290	82.601357	2.309278	33.197983	2.314084	0
291	82.436154	2.309278	33.073338	2.438729	0
292	82.271282	2.309278	32.949162	2.562906	0
293	82.106739	2.309278	32.825451	2.686617	0
294	81.942526	2.309278	32.702206	2.809863	0
295	81.778641	2.309278	32.579422	2.932646	0
296	81.615084	2.309278	32.4571	3.054969	0
297	81.451853	2.309278	32.335236	3.176832	0
298	81.28895	2.309278	32.213829	3.298238	0
299	81.126372	2.309278	32.09288	3.419187	0
300	80.964119	2.309278	31.972385	3.539683	0
301	80.802191	2.309278	31.852343	3.659726	0
302	80.640586	2.309278	31.73275	3.779319	0
303	80.479305	2.309278	31.613605	3.898463	0
304	80.318347	2.309278	31.494909	4.017159	0
305	80.15771	2.309278	31.376659	4.135409	0
306	79.997394	2.309278	31.258852	4.253216	0
307	79.8374	2.309278	31.141487	4.37058	0
308	79.677725	2.309278	31.024563	4.487504	0
309	79.518369	2.309278	30.908079	4.603988	0
310	79.359333	2.309278	30.792032	4.720035	0
311	79.200614	2.309278	30.67642	4.835647	0
312	79.042213	2.309278	30.561243	4.950824	0
313	78.884128	2.309278	30.446499	5.065569	0
314	78.72636	2.309278	30.332184	5.179884	0
315	78.568907	2.309278	30.218298	5.293769	0
316	78.41177	2.309278	30.104841	5.407226	0
317	78.254946	2.309278	29.99181	5.520257	0
318	78.098436	2.309278	29.879202	5.632864	0
319	77.942239	0	0	0	0
320	78.666898	0	0	0	0
321	79.361185	0	0	0	0
322	80.026364	0	0	0	0
323	80.663659	0	0	0	0
324	81.274237	0	0	0	0
325	81.859223	0	0	0	0
326	82.419684	0	0	0	0
327	82.956648	0	0	0	0
328	83.471105	0	0	0	0
329	83.963999	0	0	0	0
330	84.436227	0	0	0	0
331	84.888659	0	0	0	0
332	85.322124	0	0	0	0
333	85.737422	0	0	0	0
334	86.135307	0	0	0	0
335	86.516516	0	0	0	0
336	86.881743	0	0	0	0
337	87.231658	0	0	0	0
